IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
121.190.128.166,12376,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,418,6.33
222.96.230.108,12171,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,381,6.26
222.102.78.227,12575,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,389,6.21
220.94.97.130,12250,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,376,6.03
220.92.119.132,14443,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,713,5.79
121.140.9.141,12243,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,343,5.64
175.202.53.36,30029,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,366,5.56
175.199.146.29,20202,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,368,5.55
211.220.92.182,10205,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,295,5.50
121.181.128.153,12508,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,378,5.09
59.3.87.55,12341,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,399,5.05
121.190.128.166,18090,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,379,4.93
211.198.190.105,18004,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,338,4.65
121.145.244.199,20900,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,361,4.57
121.143.250.159,12137,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,344,4.33
183.108.184.228,36167,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,320,4.14
61.81.181.169,12343,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,369,4.01
121.134.192.125,12350,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,824,3.68
220.93.68.48,12122,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,329,3.62
118.41.7.140,10080,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,308,3.54
118.40.208.147,12582,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,391,3.48
121.185.11.236,12111,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,421,3.46
119.195.198.168,13001,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,373,3.36
221.164.149.81,17082,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,307,3.13
183.99.84.168,12355,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,388,3.02
14.34.244.9,18004,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,421,2.59
61.81.112.29,12413,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,308,2.42
175.212.237.31,38881,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,350,2.31
175.197.4.121,12274,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,318,2.23
220.86.228.109,12571,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,313,2.18
121.140.9.141,18001,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,359,2.11
222.119.56.48,12390,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,310,2.05
121.163.134.25,12481,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,353,2.03
59.26.152.219,12378,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,372,1.97
112.185.79.155,18556,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,373,1.96
211.185.39.50,21515,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,303,1.96
220.81.171.227,18106,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,295,1.68
61.77.9.219,23084,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,381,1.30
121.190.128.166,30090,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,421,1.28
59.3.87.55,22222,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,306,1.10
14.52.249.135,10082,TRUE,FUK,JP,Asia Pacific,Fukuoka,4766,Korea Telecom,429,0.91
