IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
183.236.51.16,29977,TRUE,ICN,KR,Asia Pacific,Seoul,9808,"China Mobile Communications Group Co., Ltd.",496,19.05
1.245.239.235,30069,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,252,7.99
175.125.207.253,21306,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,220,7.22
121.140.9.141,12328,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,304,6.87
175.125.207.253,36167,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,224,6.65
211.248.216.119,10018,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,415,6.34
121.190.128.166,16036,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,272,6.28
114.201.80.59,30012,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,260,6.05
220.88.191.218,30025,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,350,5.61
112.165.29.47,30050,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,430,5.52
221.157.238.95,12500,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,360,5.50
220.87.237.210,16082,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,324,5.47
45.112.155.186,12314,TRUE,ICN,KR,Asia Pacific,Seoul,17854,SK Broadband Co Ltd,329,5.40
119.207.232.151,12116,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,409,5.39
125.133.233.48,30100,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,318,5.38
118.219.227.220,11310,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,211,5.33
125.133.233.48,30087,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,383,5.28
125.139.194.243,12389,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,468,5.22
58.127.73.204,30009,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,200,4.99
118.219.227.220,12296,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,292,4.89
59.2.235.11,12536,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,332,4.81
121.134.192.125,10034,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,589,4.68
211.229.111.39,12354,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,501,4.55
175.125.207.253,12506,TRUE,ICN,KR,Asia Pacific,Seoul,9318,SK Broadband Co Ltd,308,4.54
222.119.56.43,10380,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,321,4.49
220.88.191.218,30031,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,750,4.48
121.147.131.116,10243,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,451,4.45
220.87.237.210,12106,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,330,4.42
118.33.229.115,12309,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,425,4.41
112.161.69.177,30001,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,440,4.40
121.158.231.203,10007,TRUE,ICN,KR,Asia Pacific,Seoul,4766,Korea Telecom,434,4.38
